fueltype,carbody,wheelbase,curbweight,cylindernumber,stroke,horsepower,price
gas,hatchback,99.1,2707,four,2.07,110,15040
gas,sedan,99.1,2758,four,3.07,110,15510
gas,hatchback,99.1,2808,four,3.07,160,18150
gas,sedan,99.1,2847,four,3.07,160,18620
gas,hatchback,93.7,2050,four,2.36,69,5118
gas,hatchback,93.7,2120,four,2.64,73,7053
gas,hatchback,93.3,2240,four,2.64,73,7603
gas,sedan,97.2,2145,four,2.64,82,7126
gas,sedan,97.2,2190,four,2.64,82,7775
gas,sedan,97.2,2340,four,2.64,94,9960
gas,sedan,97,2385,four,2.64,82,9233
gas,sedan,97,2510,four,2.64,111,11259
gas,wagon,97,2290,four,2.64,82,7463
gas,wagon,97,2455,four,2.64,94,10198
gas,wagon,96.9,2420,four,2.64,82,8013
gas,wagon,96.9,2650,four,2.64,111,11694
gas,hatchback,95.7,1985,four,3.03,62,5348
gas,hatchback,95.7,2040,four,3.03,62,6338
gas,hatchback,95.7,2015,four,3.03,62,6488
gas,wagon,95.7,2280,four,3.03,62,6918
gas,wagon,95.7,2290,four,3.03,62,7898
gas,wagon,95.7,3110,four,3.03,62,8778
gas,sedan,95.7,2081,four,3.03,70,6938
gas,hatchback,95.7,2109,four,3.03,70,7198
diesel,sedan,95.7,2275,four,3.35,56,7898
diesel,hatchback,95.7,2275,four,3.35,56,7788
gas,sedan,95.7,2094,four,3.03,70,7738
gas,hatchback,95.7,2122,four,3.03,70,8358
gas,sedan,95.7,2140,four,3.03,70,9258
gas,sedan,94.5,2169,four,3.03,70,8058
gas,hatchback,94.5,2204,four,3.03,70,8238
gas,sedan,94.5,2265,four,3.08,112,9298
gas,hatchback,94.5,2300,four,3.08,112,9538
gas,hardtop,98.4,2540,four,3.5,116,8449
gas,hardtop,98.4,2536,four,3.5,116,9639
gas,hatchback,98.4,2551,four,3.5,116,9989
gas,hardtop,98.4,2679,four,3.5,116,11199
gas,hatchback,98.4,2714,four,3.5,116,11549
gas,convertible,98.4,2975,four,3.5,116,17669
gas,sedan,102.4,2326,four,3.54,92,8948
diesel,sedan,102.4,2480,four,3.35,73,10698
gas,hatchback,102.4,2414,four,3.54,92,9988
gas,sedan,102.4,2414,four,3.54,92,10898
gas,hatchback,102.4,2458,four,3.54,92,11248
gas,hatchback,102.9,2976,six,3.35,161,16558
gas,hatchback,102.9,3016,six,3.35,161,15998
gas,sedan,104.5,3131,six,3.35,156,15690
gas,wagon,104.5,3151,six,3.35,156,15750
diesel,sedan,97.3,2261,four,3.4,52,7775
gas,sedan,97.3,2209,four,3.4,85,7975
diesel,sedan,97.3,2264,four,3.4,52,7995
gas,sedan,97.3,2212,four,3.4,85,8195
gas,sedan,97.3,2275,four,3.4,85,8495
diesel,sedan,97.3,2319,four,3.4,68,9495
gas,sedan,97.3,2300,four,3.4,100,9995
gas,convertible,94.5,2254,four,3.4,90,11595
gas,hatchback,94.5,2221,four,3.4,90,9980
gas,sedan,100.4,2661,five,3.4,110,13295
diesel,sedan,100.4,2579,four,3.4,68,13845
gas,wagon,100.4,2563,four,3.4,88,12290
gas,sedan,104.3,2912,four,3.15,114,12940
gas,wagon,104.3,3034,four,3.15,114,13415
gas,sedan,104.3,2935,four,3.15,114,15985
gas,wagon,104.3,3042,four,3.15,114,16515
gas,sedan,104.3,3045,four,3.15,162,18420
gas,wagon,104.3,3157,four,3.15,162,18950
gas,sedan,109.1,2952,four,3.15,114,16845
gas,sedan,109.1,3049,four,3.15,160,19045
gas,sedan,109.1,3012,six,2.87,134,21485
diesel,sedan,109.1,3217,six,3.4,106,22470
gas,sedan,109.1,3062,four,3.15,114,22625
